timeFrame	bandUsed
1	0.740235
1	0.0128906
2	0.740235
2	0.951172
3	1.445703
3	0.951172
4	2.32949
4	0.951172
5	3.3673900000000003
5	0.9382820000000001
6	3.5236400000000003
6	0.1033203
7	4.58555
7	0.0386718
8	4.58028
8	0.0386718
9	3.96661
9	0.0386718
10	4.43848
10	0.0386718
11	4.09277
11	0.0386718
12	2.3832050000000002
13	3.26641
14	3.8414
15	4.0261700000000005
16	4.2761700000000005
17	4.11093
18	4.574999999999999
19	2.9191399999999996
20	3.67266
21	3.46757
22	3.6882900000000003
23	4.157030000000001
24	4.063090000000001
25	2.9749999999999996
26	3.39004
27	3.61622
28	0.698828
29	4.6017600000000005
30	5.76895
31	7.31386
32	8.177150000000001
33	8.21153
34	6.93535
35	4.13105
36	4.10332
37	3.28653
38	3.52696
39	4.544919999999999
40	4.78925
41	4.52285
42	5.11953
43	3.6377
44	4.78907
45	5.25782
46	5.56523
47	4.65507
48	4.37265
49	3.8886700000000003
50	3.09023
50	0.0507812
51	3.8728499999999997
51	0.0507812
52	3.83985
52	0.0507812
53	4.18516
53	0.0507812
54	4.05156
54	0.0507812
55	3.84863
56	3.56542
57	4.44843
58	3.6078099999999997
59	5.07969
60	0.457422
61	1.030664
62	3.13965
63	5.4949200000000005
64	6.33457
65	7.6169899999999995
66	7.05977
67	5.43046
68	4.12519
69	4.05508
70	3.31406
71	4.829689999999999
72	4.84941
73	4.48066
74	5.69375
75	5.9191400000000005
76	4.75664
77	7.46992
78	9.967970000000001
79	8.75723
80	8.47383
81	8.113669999999999
82	6.45488
83	4.47988
84	4.17676
85	4.16992
86	4.41054
87	3.4749999999999996
88	2.9400399999999998
89	2.9423899999999996
90	3.75664
91	4.494730000000001
92	4.2041
93	1.1585930000000002
94	4.84727
95	5.68164
96	7.36953
97	7.8421899999999996
98	7.66797
99	6.45137
100	5.27696
101	3.90351
102	4.84922
103	5.58516
104	5.316409999999999
105	3.61543
106	4.1291
107	4.98691
108	3.61601
109	5.647270000000001
110	5.86758
110	0.0507812
111	6.3273399999999995
111	0.0507812
112	5.70547
112	0.0507812
113	5.23828
113	0.0507812
114	4.6205099999999995
114	0.0507812
115	2.288672
116	3.5334
117	4.00449
118	4.03515
119	4.3210999999999995
120	3.04551
121	3.72598
122	4.3259799999999995
123	3.98711
124	5.6293
125	0.7308589999999999
126	1.207422
127	3.82969
128	5.68398
129	5.82383
130	6.59922
131	6.62754
132	4.6990300000000005
133	4.32559
134	4.4916
135	4.03203
136	6.07441
137	4.73438
138	5.20918
139	6.01778
140	6.7127
141	4.69941
142	6.19394
143	5.44727
144	3.66093
145	4.1418
146	3.7468699999999995
147	2.9792899999999998
148	3.67852
149	3.63672
150	3.41485
151	4.54024
152	4.24414
153	3.9976599999999998
154	4.24883
155	4.20664
156	4.60938
157	2.08359
158	1.051171
159	4.59883
160	5.3699200000000005
161	6.59102
162	7.276960000000001
163	7.52071
164	6.475
165	5.06953
166	3.70859
167	4.71915
168	5.22149
169	6.24296
170	4.58984
170	0.0507812
171	4.326560000000001
171	0.0507812
172	3.42481
172	0.0507812
173	2.55645
173	0.0507812
174	4.41699
174	0.0507812
175	5.13672
175	0.0507812
176	5.11836
177	4.90214
178	4.95645
179	4.89161
180	6.05821
194	7.026959999999999
195	2.8794899999999997
196	3.88652
197	5.18008
198	5.95196
199	7.2418
200	5.709960000000001
201	5.07383
202	4.51113
203	5.02754
204	4.21191
205	4.53457
206	5.37148
207	5.4332
208	4.65742
209	4.65273
210	4.36328
211	4.63007
212	4.3843700000000005
213	4.63438
214	4.64453
215	4.64453
216	4.64453
217	4.64453
218	4.64453
221	4.64453
222	2.010544
224	2.5236310000000004
225	3.0021459999999998
226	3.0021459999999998
227	3.18457
228	0.2203128
229	0.248633
230	0.248633
231	3.02949
231	0.0507812
232	3.50215
232	0.0507812
233	3.81094
233	0.0507812
234	4.5050799999999995
234	0.0507812
235	6.5621100000000006
235	0.0507812
236	4.68671
237	5.47227
238	5.50508
239	5.2386800000000004
240	4.48438
241	3.3293
242	4.46055
243	4.60937
244	5.48789
245	5.96055
246	5.64844
247	4.75742
248	5.330080000000001
249	3.0793
250	4.26446
251	4.73711
252	3.43867
253	4.0416
254	5.11054
255	6.54219
256	5.8957
257	6.3754
258	4.1919900000000005
259	4.66856
260	0.473437
261	1.214062
262	2.064846
263	3.05547
264	3.7496099999999997
265	3.7886699999999998
266	3.58945
267	3.56445
268	3.0457
269	2.85625
270	5.3406199999999995
271	5.50196
272	5.15273
273	5.67149
274	5.6378900000000005
275	3.72031
276	3.36152
277	3.57891
278	3.09726
279	3.09023
280	2.455861
281	3.13125
282	3.96172
283	3.89102
284	3.90196
285	4.75351
286	5.83046
287	4.98672
288	5.76016
289	8.43711
290	7.62226
291	6.8878900000000005
291	0.0507812
292	2.021092
292	0.0128906
293	0.976562
294	1.3730470000000001
295	2.2996100000000004
296	3.12929
297	4.49336
298	5.25391
299	5.2156199999999995
300	4.17617
303	4.96992
304	3.1322200000000002
305	2.5337870000000002
306	2.737307
307	2.737307
308	4.366210000000001
309	4.84043
310	4.3045
311	4.20918
312	4.68574
313	4.0580099999999995
314	2.603128
315	3.01836
316	3.5699300000000003
317	4.08399
318	3.61016
319	4.85586
320	6.75176
321	6.94238
322	6.94238
323	6.94238
324	6.94238
