timeFrame	cpuPerc	memoryPerc	memoryUsed
1213	11.7	98.2	2.042236928
1214	12.5	98.3	2.042761216
1215	16.3	98.3	2.043387904
1216	22.7	98.4	2.044964864
1217	26.3	98.4	2.04640256
1218	31.3	98.5	2.048069632
1219	27.1	98.6	2.049118208
1220	18.3	98.6	2.049875968
1221	26.0	98.0	2.037403648
1222	24.7	98.2	2.0412416
1223	26.9	98.3	2.043133952
1224	26.8	98.4	2.045284352
1225	12.4	98.5	2.04705792
1226	41.2	98.9	2.055688192
1227	22.3	98.3	2.044588032
1228	8.7	98.3	2.043478016
1229	8.6	98.3	2.043416576
1230	33.0	98.3	2.042814464
1231	21.3	98.3	2.042810368
1232	27.1	98.4	2.045169664
1233	34.0	98.6	2.050834432
1234	27.8	98.8	2.05336576
1235	27.0	98.9	2.055696384
1236	23.4	98.9	2.055991296
1237	43.8	98.8	2.054557696
1238	8.1	98.8	2.054557696
1239	6.5	98.8	2.054557696
1240	75.0	98.2	2.04232704
1241	49.5	98.3	2.043334656
1242	39.6	98.2	2.041184256
1243	19.4	98.2	2.041434112
1244	24.2	98.2	2.041544704
1245	53.1	98.3	2.042765312
1246	28.4	98.3	2.043727872
1247	23.4	98.4	2.045280256
1248	35.4	98.5	2.048495616
1249	41.4	98.6	2.04945408
1250	28.1	98.6	2.049691648
1251	41.8	98.6	2.050179072
1252	55.1	98.7	2.051059712
1253	63.6	98.7	2.05285376
1254	69.1	98.9	2.05514752
1255	42.3	98.6	2.050465792
1256	7.5	98.6	2.050465792
1257	7.9	98.6	2.050465792
1258	23.7	98.2	2.041028608
1259	40.0	98.0	2.037194752
1260	28.7	98.0	2.037182464
1261	51.5	98.0	2.03741184
1262	45.5	98.0	2.038018048
1263	26.9	98.1	2.04015616
1264	15.2	98.1	2.040528896
1265	35.1	98.7	2.052079616
1266	39.2	98.8	2.05461504
1267	52.1	98.2	2.041106432
1268	39.4	98.2	2.040979456
1269	29.2	98.2	2.042118144
1270	40.8	98.3	2.044145664
1271	30.2	98.4	2.045489152
1272	44.2	98.1	2.039513088
1273	7.5	98.1	2.038861824
1274	9.9	98.1	2.038861824
1275	21.1	98.1	2.040131584
1276	9.8	98.2	2.041143296
1277	7.6	98.2	2.04228608
1278	6.5	98.3	2.043174912
1279	5.6	98.3	2.044444672
1280	10.5	98.4	2.044936192
1281	9.5	98.4	2.045952
1282	6.5	98.4	2.046459904
1283	28.1	98.4	2.045571072
1284	26.6	98.5	2.047504384
