txSize	cpuPerc	memoryPerc	memoryUsed
657.3235294117648	7.3	42.7	1.759576064
657.3235294117648	8.0	42.7	1.759535104
657.3235294117648	50.0	42.7	1.759535104
657.1470588235294	7.7	42.7	1.76001024
654.8529411764706	7.7	42.7	1.7598464
655.5588235294117	100.0	42.7	1.760190464
658.3823529411765	50.0	42.7	1.76001024
655.2058823529412	10.0	44.1	1.817649152
655.2058823529412	100.0	44.1	1.818701824
655.2058823529412	100.0	44.1	1.818177536
656.6176470588235	40.0	44.1	1.81835776
655.2058823529412	7.9	44.1	1.818001408
655.2058823529412	50.0	44.1	1.818701824
656.6176470588235	8.9	43.8	1.8079744
655.5588235294117	5.1	45.5	1.875263488
656.7941176470588	7.3	46.1	1.90066688
647.0735294117648	4.8	46.5	1.916461056
