txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
92744.83333333333 	 12085 	 316 	 11769 	 4.6 	 45.8 	 1.434898432 
92744.83333333333 	 13090 	 250 	 12840 	 3.4 	 45.8 	 1.434886144 
89371.5 	 315 	 535 	 -220 	 8.3 	 45.8 	 1.435496448 
89371.5 	 4327 	 275 	 4052 	 5.0 	 45.8 	 1.435398144 
92744.83333333333 	 3329 	 272 	 3057 	 6.5 	 45.8 	 1.43532032 
89371.5 	 2341 	 382 	 1959 	 5.7 	 45.8 	 1.43532032 
92750.83333333333 	 1381 	 239 	 1142 	 6.7 	 45.8 	 1.4353408 
89367.5 	 7143 	 401 	 6742 	 12.7 	 45.8 	 1.435353088 
89371.5 	 8602 	 366 	 8236 	 3.3 	 45.8 	 1.435226112 
89371.5 	 11626 	 285 	 11341 	 5.8 	 45.8 	 1.435140096 
89371.5 	 9623 	 233 	 9390 	 3.3 	 45.8 	 1.43521792 
89367.5 	 10670 	 258 	 10412 	 2.8 	 45.8 	 1.435201536 
89371.5 	 7670 	 426 	 7244 	 7.1 	 45.8 	 1.435373568 
92750.83333333333 	 8158 	 426 	 7732 	 2.2 	 45.8 	 1.435291648 
92744.83333333333 	 7154 	 285 	 6869 	 2.2 	 45.8 	 1.435267072 
92744.83333333333 	 6168 	 349 	 5819 	 2.8 	 45.8 	 1.435287552 
92744.83333333333 	 1371 	 248 	 1123 	 4.6 	 45.8 	 1.43519744 
89367.5 	 7984 	 586 	 7398 	 4.6 	 45.8 	 1.435291648 
92744.83333333333 	 2403 	 632 	 1771 	 3.8 	 45.8 	 1.435262976 
92744.83333333333 	 3410 	 260 	 3150 	 5.7 	 45.8 	 1.43527936 
92744.83333333333 	 7099 	 683 	 6416 	 5.3 	 45.8 	 1.435316224 
89371.5 	 6128 	 328 	 5800 	 4.3 	 45.8 	 1.435455488 
89367.5 	 7680 	 246 	 7434 	 5.9 	 45.8 	 1.435385856 
89371.5 	 4710 	 313 	 4397 	 8.5 	 45.8 	 1.435451392 
92750.83333333333 	 9738 	 645 	 9093 	 3.0 	 45.8 	 1.435394048 
92744.83333333333 	 6739 	 247 	 6492 	 5.4 	 45.8 	 1.435398144 
89371.5 	 10747 	 407 	 10340 	 4.9 	 45.8 	 1.435459584 
92756.83333333333 	 8743 	 412 	 8331 	 4.3 	 45.8 	 1.435377664 
92750.83333333333 	 5746 	 401 	 5345 	 5.9 	 45.8 	 1.4354432 
92760.83333333333 	 6302 	 432 	 5870 	 5.8 	 45.8 	 1.435807744 
89367.5 	 8308 	 346 	 7962 	 6.0 	 45.8 	 1.435774976 
92750.83333333333 	 11364 	 420 	 10944 	 7.5 	 45.8 	 1.435766784 
89367.5 	 12369 	 338 	 12031 	 6.4 	 45.8 	 1.435578368 
89371.5 	 7330 	 240 	 7090 	 4.4 	 45.8 	 1.435807744 
92744.83333333333 	 10257 	 280 	 9977 	 3.5 	 45.8 	 1.435721728 
89371.5 	 13410 	 341 	 13069 	 9.1 	 45.8 	 1.435414528 
92744.83333333333 	 5362 	 363 	 4999 	 14.6 	 45.8 	 1.435828224 
89371.5 	 9392 	 351 	 9041 	 4.2 	 45.8 	 1.435754496 
92750.83333333333 	 6548 	 383 	 6165 	 7.5 	 45.8 	 1.435963392 
92744.83333333333 	 7591 	 471 	 7120 	 8.3 	 45.8 	 1.435848704 
92744.83333333333 	 5594 	 283 	 5311 	 8.0 	 45.8 	 1.435979776 
89371.5 	 6328 	 357 	 5971 	 4.6 	 45.8 	 1.435959296 
89367.5 	 7330 	 243 	 7087 	 5.1 	 45.8 	 1.435910144 
92744.83333333333 	 7858 	 429 	 7429 	 0.6 	 45.8 	 1.435774976 
89367.5 	 5866 	 259 	 5607 	 3.8 	 45.8 	 1.435742208 
92744.83333333333 	 3871 	 407 	 3464 	 3.7 	 45.8 	 1.435942912 
92744.83333333333 	 6865 	 319 	 6546 	 2.7 	 45.8 	 1.435742208 
89367.5 	 2877 	 473 	 2404 	 5.6 	 45.8 	 1.4359552 
89367.5 	 4954 	 248 	 4706 	 4.8 	 45.8 	 1.435758592 
89371.5 	 2550 	 280 	 2270 	 3.0 	 45.8 	 1.435967488 
92744.83333333333 	 5847 	 650 	 5197 	 7.6 	 45.8 	 1.435967488 
92750.83333333333 	 4849 	 226 	 4623 	 14.2 	 45.8 	 1.43591424 
92744.83333333333 	 8017 	 423 	 7594 	 6.0 	 45.8 	 1.435967488 
89367.5 	 6449 	 248 	 6201 	 9.3 	 45.8 	 1.435848704 
92744.83333333333 	 5454 	 257 	 5197 	 6.4 	 45.8 	 1.435860992 
92750.83333333333 	 7189 	 224 	 6965 	 6.0 	 45.8 	 1.435942912 
89371.5 	 8195 	 437 	 7758 	 5.1 	 45.8 	 1.435967488 
89367.5 	 6197 	 339 	 5858 	 7.0 	 45.8 	 1.435959296 
89367.5 	 10205 	 323 	 9882 	 50.0 	 45.8 	 1.435824128 
92750.83333333333 	 11208 	 313 	 10895 	 3.2 	 45.8 	 1.435824128 
89371.5 	 5226 	 329 	 4897 	 6.8 	 45.8 	 1.4359552 
89371.5 	 9252 	 246 	 9006 	 5.6 	 45.8 	 1.435807744 
89371.5 	 12271 	 237 	 12034 	 5.0 	 45.8 	 1.435860992 
89371.5 	 7349 	 311 	 7038 	 8.3 	 45.8 	 1.435967488 
89371.5 	 6409 	 359 	 6050 	 8.8 	 45.8 	 1.436229632 
89371.5 	 5421 	 224 	 5197 	 9.4 	 45.8 	 1.436233728 
89371.5 	 6194 	 357 	 5837 	 4.0 	 45.8 	 1.436278784 
89371.5 	 7185 	 290 	 6895 	 7.6 	 45.8 	 1.436229632 
89367.5 	 5256 	 557 	 4699 	 4.7 	 45.8 	 1.436270592 
92744.83333333333 	 7431 	 482 	 6949 	 5.6 	 45.8 	 1.436237824 
89371.5 	 6433 	 313 	 6120 	 4.6 	 45.8 	 1.436254208 
92750.83333333333 	 5434 	 307 	 5127 	 4.8 	 45.8 	 1.436258304 
92744.83333333333 	 7171 	 581 	 6590 	 4.4 	 45.8 	 1.436205056 
