txSize	cpuPerc	memoryPerc	memoryUsed
116.07352941176471	7.3	48.1	1.982656512
116.07352941176471	7.5	48.1	1.982656512
116.07352941176471	41.9	53.6	2.211442688
116.07352941176471	41.5	53.6	2.211442688
116.07352941176471	38.6	53.6	2.210947072
116.07352941176471	85.7	53.6	2.2095872
116.07352941176471	100.0	53.3	2.198667264
116.07352941176471	29.3	53.6	2.210947072
116.07352941176471	36.6	53.6	2.210947072
116.07352941176471	36.6	53.6	2.210947072
116.07352941176471	35.7	53.6	2.21079552
116.07352941176471	52.4	53.7	2.215452672
116.07352941176471	33.3	53.7	2.215952384
116.07352941176471	43.2	53.6	2.212315136
116.07352941176471	15.0	53.6	2.2126592
116.07352941176471	19.5	53.6	2.2126592
116.07352941176471	42.5	53.7	2.213175296
116.07352941176471	38.5	53.7	2.215952384
116.07352941176471	38.1	53.6	2.212478976
116.07352941176471	32.4	53.7	2.215821312
116.07352941176471	36.8	53.6	2.213019648
116.07352941176471	26.8	53.7	2.215718912
116.07352941176471	39.5	53.6	2.212696064
116.07352941176471	38.5	53.6	2.213019648
116.07352941176471	37.8	53.7	2.215952384
116.07352941176471	35.9	53.6	2.212626432
116.07352941176471	29.3	53.7	2.215723008
116.07352941176471	14.6	53.6	2.2126592
116.07352941176471	32.6	53.7	2.215718912
116.07352941176471	48.8	53.7	2.2140928
116.07352941176471	26.8	53.7	2.215718912
116.07352941176471	47.7	53.7	2.213830656
116.07352941176471	47.5	53.7	2.215829504
116.07352941176471	47.6	53.7	2.214690816
116.07352941176471	33.3	53.7	2.215952384
116.07352941176471	35.9	53.7	2.215821312
116.07352941176471	42.5	53.7	2.216054784
116.07352941176471	38.9	53.7	2.216054784
116.07352941176471	35.1	53.7	2.215821312
116.07352941176471	39.5	53.6	2.2126592
116.07352941176471	37.2	53.6	2.212646912
116.07352941176471	35.1	53.7	2.215952384
116.07352941176471	36.1	53.7	2.215952384
116.07352941176471	38.3	53.6	2.211598336
116.07352941176471	39.5	53.6	2.212626432
116.07352941176471	46.3	53.7	2.215829504
116.07352941176471	36.8	53.7	2.215952384
116.07352941176471	47.6	53.7	2.214199296
116.07352941176471	35.1	53.7	2.216054784
116.07352941176471	33.3	53.7	2.215821312
116.07352941176471	35.1	53.7	2.215952384
116.07352941176471	42.5	53.7	2.213175296
116.07352941176471	46.3	53.7	2.214199296
116.07352941176471	40.5	53.7	2.216054784
116.07352941176471	24.4	53.6	2.2126592
116.07352941176471	9.8	53.6	2.2126592
116.07352941176471	27.8	53.7	2.215821312
116.07352941176471	39.0	53.6	2.211598336
116.07352941176471	47.6	53.7	2.215059456
116.07352941176471	29.7	53.7	2.215821312
116.07352941176471	41.9	53.6	2.212315136
116.07352941176471	37.8	53.7	2.215952384
116.07352941176471	35.9	53.6	2.211753984
116.07352941176471	30.2	53.7	2.215718912
116.07352941176471	33.3	53.7	2.215821312
116.07352941176471	27.5	53.7	2.215591936
116.07352941176471	39.5	53.6	2.212696064
116.07352941176471	23.8	53.6	2.2126592
116.07352941176471	32.6	53.7	2.215718912
116.07352941176471	29.3	53.7	2.215718912
116.07352941176471	44.2	53.7	2.213576704
116.07352941176471	19.5	53.6	2.2126592
116.07352941176471	29.3	53.7	2.215723008
116.07352941176471	34.2	53.6	2.211467264
116.07352941176471	33.3	53.7	2.216054784
116.07352941176471	39.0	53.6	2.212646912
116.07352941176471	46.3	53.7	2.214199296
116.07352941176471	35.1	53.7	2.215952384
116.07352941176471	47.5	53.7	2.215829504
116.07352941176471	33.3	53.7	2.215821312
116.07352941176471	43.6	53.7	2.216054784
116.07352941176471	39.5	53.6	2.21247488
116.07352941176471	40.9	53.6	2.211598336
116.07352941176471	45.0	53.7	2.214305792
116.07352941176471	19.0	53.6	2.21251584
116.07352941176471	43.9	53.7	2.21579264
116.07352941176471	53.7	53.7	2.216054784
116.07352941176471	45.0	53.7	2.214305792
116.07352941176471	53.8	53.7	2.217037824
116.07352941176471	12.5	53.6	2.211233792
116.07352941176471	35.0	53.7	2.2161408
116.07352941176471	50.0	53.7	2.216226816
116.07352941176471	46.3	53.7	2.21579264
116.07352941176471	28.2	53.7	2.216607744
116.07352941176471	60.5	53.7	2.214301696
116.07352941176471	35.9	53.7	2.216906752
116.07352941176471	55.3	53.7	2.217037824
116.07352941176471	45.2	53.7	2.21579264
116.07352941176471	66.7	53.7	2.215923712
116.07352941176471	22.5	53.7	2.216984576
116.07352941176471	47.6	53.7	2.216357888
116.07352941176471	59.5	53.7	2.214301696
116.07352941176471	44.7	53.7	2.214305792
116.07352941176471	43.9	53.7	2.215899136
116.07352941176471	5.3	53.6	2.211016704
116.07352941176471	38.5	53.6	2.212241408
116.07352941176471	45.2	53.7	2.21579264
116.07352941176471	53.7	53.7	2.217037824
116.07352941176471	47.5	53.7	2.21579264
116.07352941176471	31.7	53.7	2.21620224
116.07352941176471	28.9	53.7	2.216906752
116.07352941176471	59.5	53.7	2.214301696
116.07352941176471	53.7	53.7	2.216054784
116.07352941176471	44.7	53.7	2.217037824
116.07352941176471	25.0	53.7	2.214735872
116.07352941176471	24.4	53.7	2.21536256
116.07352941176471	50.0	53.7	2.216226816
116.07352941176471	31.6	53.7	2.21620224
