txSize	cpuPerc	memoryPerc	memoryUsed
116.07352941176471	3.3	50.8	2.097344512
116.07352941176471	4.0	50.8	2.097344512
116.07352941176471	3.3	50.8	2.097344512
116.07352941176471	3.3	50.8	2.097344512
116.07352941176471	9.0	50.9	2.101014528
116.07352941176471	8.5	50.9	2.101141504
116.07352941176471	7.8	50.9	2.101141504
116.07352941176471	7.7	50.9	2.101141504
116.07352941176471	8.2	50.9	2.101141504
116.07352941176471	9.2	50.9	2.101014528
116.07352941176471	8.2	50.9	2.101141504
116.07352941176471	8.7	50.9	2.101141504
116.07352941176471	9.5	50.9	2.101014528
116.07352941176471	8.2	50.9	2.101014528
116.07352941176471	7.8	50.9	2.101141504
116.07352941176471	7.7	50.9	2.101141504
116.07352941176471	9.0	50.9	2.101014528
116.07352941176471	8.5	50.9	2.101014528
116.07352941176471	8.5	50.9	2.101141504
116.07352941176471	8.1	50.9	2.101141504
116.07352941176471	7.7	50.9	2.101141504
116.07352941176471	9.0	50.9	2.101014528
116.07352941176471	9.5	50.9	2.101014528
116.07352941176471	8.1	50.9	2.101141504
116.07352941176471	9.2	50.9	2.101014528
116.07352941176471	8.5	50.9	2.101141504
116.07352941176471	8.5	50.9	2.101141504
116.07352941176471	9.2	50.9	2.101014528
116.07352941176471	7.8	50.9	2.101141504
116.07352941176471	7.5	50.9	2.101141504
116.07352941176471	7.7	50.9	2.101141504
116.07352941176471	7.5	50.9	2.101141504
116.07352941176471	8.9	50.9	2.101014528
116.07352941176471	8.2	50.9	2.101141504
116.07352941176471	8.5	50.9	2.101141504
116.07352941176471	8.7	50.9	2.101014528
116.07352941176471	9.5	50.9	2.101014528
116.07352941176471	5.8	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	4.8	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	5.2	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	5.8	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	5.8	51.6	2.128523264
116.07352941176471	5.0	51.6	2.128523264
116.07352941176471	7.3	51.6	2.128523264
116.07352941176471	4.8	51.6	2.128523264
116.07352941176471	5.2	51.6	2.128523264
116.07352941176471	5.5	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	6.3	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	7.0	51.8	2.136092672
116.07352941176471	6.0	51.8	2.136092672
116.07352941176471	5.8	51.8	2.136092672
116.07352941176471	5.1	51.8	2.136092672
116.07352941176471	6.2	51.8	2.136498176
116.07352941176471	4.8	51.8	2.136498176
116.07352941176471	6.2	51.8	2.136498176
116.07352941176471	5.0	51.8	2.136498176
116.07352941176471	6.7	51.8	2.136498176
116.07352941176471	5.0	51.8	2.136498176
116.07352941176471	6.7	51.8	2.136498176
116.07352941176471	6.3	51.8	2.136498176
116.07352941176471	7.0	51.8	2.136498176
116.07352941176471	6.3	51.8	2.136498176
116.07352941176471	6.2	51.8	2.136498176
116.07352941176471	4.8	51.8	2.136498176
116.07352941176471	5.3	51.8	2.136498176
116.07352941176471	5.5	51.8	2.136498176
116.07352941176471	6.2	51.8	2.136498176
116.07352941176471	6.0	51.8	2.136498176
116.07352941176471	6.5	51.8	2.136498176
116.07352941176471	6.2	51.8	2.136498176
116.07352941176471	4.8	51.8	2.136498176
116.07352941176471	6.0	51.8	2.136498176
116.07352941176471	8.4	51.8	2.136612864
116.07352941176471	7.7	51.8	2.136612864
116.07352941176471	8.0	51.8	2.136612864
116.07352941176471	8.5	51.8	2.136612864
116.07352941176471	8.2	51.8	2.136612864
116.07352941176471	8.3	51.8	2.136612864
116.07352941176471	8.0	51.8	2.136612864
116.07352941176471	8.2	51.8	2.136612864
116.07352941176471	8.2	51.8	2.136612864
116.07352941176471	8.0	51.8	2.136612864
116.07352941176471	8.5	51.8	2.136612864
116.07352941176471	7.9	51.8	2.136612864
116.07352941176471	8.5	51.8	2.136612864
116.07352941176471	8.0	51.8	2.136612864
116.07352941176471	9.2	51.8	2.137849856
116.07352941176471	9.9	51.8	2.137780224
116.07352941176471	8.5	51.8	2.137849856
116.07352941176471	8.9	51.8	2.137849856
116.07352941176471	8.7	51.8	2.137849856
116.07352941176471	8.8	51.8	2.137849856
116.07352941176471	12.6	51.8	2.137780224
116.07352941176471	9.5	51.8	2.137780224
116.07352941176471	9.8	51.8	2.137780224
116.07352941176471	9.7	51.8	2.137780224
116.07352941176471	8.8	51.8	2.137849856
116.07352941176471	9.9	51.8	2.137780224
116.07352941176471	9.2	51.8	2.137849856
116.07352941176471	10.2	51.8	2.137780224
116.07352941176471	8.8	51.8	2.137849856
116.07352941176471	10.5	51.8	2.137780224
116.07352941176471	9.2	51.8	2.137849856
116.07352941176471	8.9	51.8	2.137849856
116.07352941176471	9.2	51.8	2.137849856
116.07352941176471	8.8	51.8	2.137849856
116.07352941176471	10.3	51.8	2.137780224
