txSize	cpuPerc	memoryPerc	memoryUsed
115.75	100.0	38.9	1.60569344
115.75	100.0	38.9	1.60569344
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.60503808
115.75	100.0	38.9	1.60569344
115.75	100.0	38.9	1.60503808
115.75	100.0	38.9	1.60569344
115.75	60.0	38.9	1.60569344
115.75	66.7	38.9	1.6055296
115.75	100.0	38.9	1.6055296
115.75	50.0	38.9	1.6055296
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.60520192
115.75	100.0	38.9	1.6055296
115.75	50.0	38.9	1.60569344
115.75	100.0	38.9	1.60569344
115.75	50.0	38.9	1.603944448
115.75	34.6	38.9	1.604022272
115.75	10.3	38.9	1.603977216
115.75	52.6	38.9	1.603977216
115.75	100.0	38.9	1.603944448
115.75	100.0	38.9	1.604206592
115.75	50.0	38.9	1.60569344
115.75	29.6	38.9	1.603436544
115.75	25.1	38.9	1.603633152
115.75	16.8	38.9	1.60415744
115.75	20.6	38.9	1.603919872
115.75	66.7	38.9	1.604169728
115.75	75.0	38.9	1.60487424
115.75	14.0	38.9	1.603579904
115.75	50.0	38.9	1.60415744
115.75	21.4	38.9	1.60407552
115.75	12.1	38.9	1.603538944
115.75	14.1	38.9	1.604493312
115.75	13.8	38.9	1.604431872
115.75	15.8	38.9	1.60401408
115.75	100.0	38.9	1.603203072
115.75	50.0	38.9	1.603096576
115.75	40.0	38.8	1.602506752
115.75	100.0	38.9	1.60354304
115.75	50.0	38.9	1.604247552
115.75	100.0	38.9	1.603751936
115.75	100.0	38.9	1.603751936
115.75	10.4	38.9	1.603203072
115.75	100.0	38.9	1.603919872
115.75	33.9	38.8	1.602183168
115.75	10.0	38.9	1.603997696
115.75	38.1	38.9	1.602670592
115.75	14.6	38.8	1.602351104
115.75	100.0	38.9	1.603883008
115.75	33.3	38.9	1.604247552
115.75	50.0	38.9	1.602670592
115.75	5.6	38.9	1.603919872
115.75	35.3	38.8	1.602183168
115.75	32.8	38.8	1.602187264
115.75	47.1	38.9	1.602670592
115.75	100.0	38.9	1.604247552
115.75	37.0	38.9	1.602670592
115.75	100.0	38.9	1.60403456
115.75	9.1	38.9	1.60354304
115.75	50.0	38.9	1.60370688
115.75	100.0	38.9	1.604378624
115.75	11.1	38.9	1.605062656
115.75	33.3	38.9	1.604247552
115.75	100.0	38.9	1.603203072
115.75	100.0	38.9	1.604509696
115.75	75.0	38.9	1.604898816
115.75	100.0	38.9	1.603883008
115.75	8.3	38.9	1.603919872
115.75	100.0	38.9	1.603751936
115.75	100.0	38.9	1.604734976
115.75	33.3	38.9	1.602670592
115.75	100.0	38.9	1.603620864
115.75	50.0	38.9	1.603919872
115.75	36.4	38.9	1.602670592
115.75	100.0	38.9	1.603919872
115.75	100.0	38.9	1.603203072
115.75	33.3	38.9	1.603883008
115.75	100.0	38.9	1.603227648
115.75	8.7	38.9	1.604980736
115.75	66.7	38.9	1.604509696
115.75	100.0	38.9	1.60403456
115.75	50.0	38.9	1.604898816
115.75	33.3	38.9	1.604734976
115.75	50.0	38.9	1.603919872
115.75	100.0	38.9	1.604734976
115.75	18.2	38.9	1.60403456
115.75	100.0	38.9	1.603883008
115.75	100.0	38.9	1.603489792
115.75	7.3	38.9	1.604247552
115.75	100.0	38.9	1.604509696
115.75	18.2	38.9	1.60403456
115.75	100.0	38.9	1.6033792
115.75	100.0	38.9	1.604734976
115.75	100.0	38.9	1.604734976
115.75	27.2	38.8	1.602187264
115.75	27.3	38.9	1.602670592
115.75	100.0	38.9	1.603997696
115.75	15.8	38.9	1.604186112
115.75	100.0	38.9	1.604767744
115.75	38.9	38.8	1.602187264
115.75	100.0	38.9	1.603883008
115.75	100.0	38.9	1.603997696
115.75	100.0	38.9	1.602834432
115.75	12.5	38.9	1.60305152
115.75	100.0	38.9	1.604378624
115.75	46.7	38.9	1.602670592
115.75	50.0	38.9	1.604247552
115.75	100.0	38.9	1.603203072
115.75	25.0	38.8	1.602342912
115.75	100.0	38.9	1.603489792
115.75	100.0	38.9	1.603883008
115.75	42.1	38.9	1.602670592
115.75	75.0	38.9	1.604186112
115.75	100.0	38.9	1.604247552
115.75	100.0	38.9	1.60370688
115.75	50.0	38.9	1.602670592
115.75	9.1	38.8	1.601548288
115.75	22.0	38.8	1.60172032
115.75	8.7	38.8	1.601339392
115.75	8.8	38.8	1.601261568
115.75	11.1	38.9	1.604042752
115.75	25.0	38.8	1.601429504
115.75	9.1	38.9	1.604050944
115.75	13.6	38.8	1.601507328
115.75	50.0	38.9	1.603899392
115.75	100.0	38.9	1.60403456
115.75	25.5	40.6	1.673383936
115.75	33.1	40.6	1.67366656
115.75	40.0	40.7	1.676890112
115.75	33.3	40.7	1.676890112
115.75	100.0	40.6	1.676648448
115.75	50.0	40.6	1.676648448
115.75	14.3	40.6	1.676484608
115.75	50.0	40.6	1.676648448
115.75	36.4	40.6	1.676484608
115.75	30.0	40.6	1.676484608
115.75	18.6	40.6	1.675169792
115.75	38.7	40.6	1.674686464
115.75	38.5	40.6	1.676484608
115.75	33.3	40.6	1.676484608
115.75	30.8	40.6	1.676484608
115.75	100.0	40.6	1.676484608
115.75	53.8	40.6	1.676480512
115.75	26.3	40.6	1.676644352
115.75	35.3	40.6	1.676480512
115.75	100.0	40.6	1.676480512
115.75	25.0	40.6	1.676480512
115.75	41.7	40.6	1.676644352
115.75	17.1	40.7	1.676898304
115.75	50.0	40.7	1.676898304
115.75	35.7	40.7	1.67702528
115.75	31.0	40.6	1.675005952
115.75	42.9	40.7	1.67702528
115.75	38.5	40.7	1.67718912
115.75	41.9	40.7	1.677512704
115.75	42.9	40.7	1.677512704
115.75	40.0	40.7	1.677512704
115.75	50.0	40.7	1.677512704
115.75	25.0	40.7	1.677512704
115.75	100.0	40.7	1.677512704
115.75	34.8	40.7	1.677676544
115.75	25.0	40.6	1.675005952
115.75	33.3	40.7	1.677676544
115.75	34.5	40.6	1.675005952
115.75	50.0	40.7	1.677676544
115.75	23.1	40.7	1.677524992
115.75	25.0	40.7	1.677324288
115.75	33.3	40.6	1.675464704
115.75	50.0	40.7	1.677324288
115.75	36.7	40.7	1.677324288
115.75	50.0	40.6	1.67548928
115.75	33.3	40.6	1.67530496
115.75	27.0	40.6	1.67530496
115.75	30.0	40.7	1.677324288
