txSize	cpuPerc	memoryPerc	memoryUsed
115.75	100.0	38.9	1.604780032
115.75	66.7	38.9	1.602899968
115.75	50.0	38.9	1.602879488
115.75	50.0	38.8	1.602056192
115.75	100.0	38.9	1.60356352
115.75	100.0	38.9	1.60559104
115.75	50.0	38.9	1.603182592
115.75	75.0	38.9	1.60569344
115.75	33.3	38.8	1.602502656
115.75	33.9	38.8	1.601478656
115.75	80.0	38.9	1.603272704
115.75	100.0	38.9	1.602777088
115.75	37.4	38.8	1.601294336
115.75	25.8	38.8	1.602269184
115.75	50.0	38.9	1.602715648
115.75	71.4	38.9	1.60284672
115.75	100.0	38.9	1.605865472
115.75	66.7	38.9	1.60579584
115.75	100.0	38.9	1.60559104
115.75	66.7	38.9	1.60610304
115.75	100.0	38.9	1.606119424
115.75	100.0	38.9	1.605865472
115.75	81.8	38.8	1.60206848
115.75	100.0	38.9	1.605865472
115.75	17.2	38.8	1.600937984
115.75	50.0	38.9	1.605705728
115.75	22.2	38.9	1.603182592
115.75	22.9	38.8	1.602424832
115.75	100.0	38.9	1.606250496
115.75	17.9	38.9	1.606234112
115.75	33.3	38.8	1.602502656
115.75	66.7	38.9	1.603272704
115.75	100.0	38.8	1.602502656
115.75	33.3	38.8	1.602379776
115.75	100.0	38.9	1.604337664
115.75	100.0	38.9	1.604632576
115.75	83.3	38.9	1.604337664
115.75	100.0	38.9	1.604186112
115.75	100.0	38.9	1.605615616
115.75	50.0	38.9	1.604960256
115.75	66.7	38.9	1.60653312
115.75	100.0	38.9	1.605615616
115.75	33.3	38.9	1.604186112
115.75	50.0	38.9	1.605779456
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	7.1	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	8.3	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.606270976
115.75	66.7	38.9	1.604960256
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.606434816
115.75	50.0	38.9	1.606434816
115.75	100.0	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	34.2	38.9	1.604186112
115.75	42.9	38.9	1.60653312
115.75	100.0	38.9	1.60653312
115.75	66.7	38.9	1.60653312
115.75	66.7	38.9	1.60653312
115.75	37.5	38.9	1.604186112
115.75	25.0	38.9	1.604186112
115.75	100.0	38.9	1.606381568
115.75	3.2	38.9	1.606381568
115.75	100.0	38.9	1.606381568
115.75	30.4	38.9	1.604186112
115.75	66.7	38.9	1.605812224
115.75	100.0	38.9	1.605648384
115.75	37.5	38.9	1.604186112
115.75	75.0	38.9	1.605648384
115.75	18.5	38.9	1.605353472
115.75	18.2	38.9	1.605812224
115.75	50.0	38.9	1.605648384
115.75	100.0	38.9	1.604186112
115.75	100.0	38.9	1.605353472
115.75	66.7	38.9	1.605353472
115.75	33.3	38.9	1.605189632
115.75	71.4	38.9	1.605353472
115.75	100.0	38.9	1.605189632
115.75	50.0	38.9	1.60536576
115.75	31.5	38.9	1.603035136
115.75	50.0	38.9	1.60536576
115.75	50.0	38.9	1.605484544
115.75	100.0	38.9	1.605525504
115.75	66.7	38.9	1.60536576
115.75	100.0	38.9	1.60536576
115.75	85.7	38.9	1.605189632
115.75	100.0	38.9	1.605525504
115.75	7.7	38.9	1.60536576
115.75	100.0	38.9	1.605689344
115.75	100.0	38.9	1.605353472
115.75	9.1	38.9	1.604186112
115.75	100.0	38.9	1.605353472
115.75	27.3	38.9	1.604186112
115.75	9.1	38.9	1.6043008
115.75	90.5	38.9	1.604415488
115.75	28.3	38.9	1.603878912
115.75	100.0	38.9	1.604415488
115.75	71.4	38.9	1.60487424
115.75	38.5	38.9	1.604661248
115.75	26.8	38.9	1.605169152
115.75	75.0	38.9	1.605865472
115.75	100.0	38.9	1.60503808
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.60503808
115.75	100.0	38.9	1.605709824
115.75	66.7	38.9	1.605709824
115.75	8.0	38.9	1.605865472
115.75	66.7	38.9	1.605689344
115.75	83.3	38.9	1.604530176
115.75	100.0	38.9	1.60503808
115.75	38.5	38.9	1.60405504
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.60503808
115.75	6.8	38.9	1.605873664
115.75	100.0	38.9	1.60503808
115.75	50.0	38.9	1.60503808
115.75	100.0	38.9	1.6055296
115.75	33.3	38.9	1.60479232
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.60536576
115.75	100.0	38.9	1.6055296
115.75	100.0	38.9	1.604923392
