timeFrame	bandUsed
1	2.7070309999999997
1	0.0128906
2	2.7070309999999997
2	0.951172
1	2.7070309999999997
1	0.0128906
2	2.7070309999999997
2	0.951172
3	5.3531200000000005
3	0.951172
4	13.191790000000001
4	0.951172
5	16.36094
5	0.9382820000000001
6	19.70269
7	25.1244
7	0.0386718
8	27.3412
8	0.0386718
9	25.030299999999997
9	0.0386718
10	3.539844
11	5.326949
12	11.46445
13	18.612099999999998
14	23.47309
15	23.40862
16	24.00389
17	21.06918
18	23.52775
19	16.673830000000002
20	18.6184
21	22.88521
22	23.57577
23	21.92574
24	22.46601
25	19.10038
26	17.55273
27	12.823799999999999
28	16.008210000000002
29	15.405859999999999
30	12.05391
31	14.64839
32	15.352720000000001
33	18.275380000000002
36	28.1175
47	15.3582
48	2.878904
49	6.92734
1	2.7070309999999997
1	0.0128906
2	2.7070309999999997
2	0.951172
3	5.3531200000000005
3	0.951172
4	13.191790000000001
4	0.951172
5	16.36094
5	0.9382820000000001
6	19.70269
7	25.1244
7	0.0386718
8	27.3412
8	0.0386718
9	25.030299999999997
9	0.0386718
1	2.7070309999999997
1	0.0128906
2	2.7070309999999997
2	0.951172
3	5.3531200000000005
3	0.951172
4	13.191790000000001
4	0.951172
5	16.36094
5	0.9382820000000001
6	19.70269
7	25.1244
7	0.0386718
8	27.3412
8	0.0386718
9	25.030299999999997
9	0.0386718
10	3.539844
11	5.326949
12	11.46445
13	18.612099999999998
14	23.47309
15	23.40862
16	24.00389
17	21.06918
18	23.52775
19	16.673830000000002
20	18.6184
21	22.88521
22	23.57577
23	21.92574
24	22.46601
25	19.10038
26	17.55273
27	12.823799999999999
28	16.008210000000002
29	15.405859999999999
30	12.05391
31	14.64839
32	15.352720000000001
33	18.275380000000002
36	28.1175
47	15.3582
48	2.878904
49	6.92734
50	10.74219
51	14.28946
52	19.570259999999998
53	19.35856
54	25.646900000000002
55	24.480510000000002
56	23.872259999999997
56	0.0507812
57	21.639409999999998
57	0.0507812
58	20.19125
58	0.0507812
59	15.632850000000001
59	0.0507812
60	17.81997
60	0.0507812
61	18.58942
62	21.423250000000003
63	26.223799999999997
64	30.0525
65	27.8943
66	27.18244
67	23.131240000000002
68	18.7725
69	15.46349
70	15.442
71	17.18163
72	17.28866
73	18.669919999999998
74	23.9566
75	23.9578
76	24.4473
77	19.03082
78	25.380899999999997
79	22.86402
80	23.143720000000002
81	2.8871089999999997
82	5.554301000000001
83	8.94804
84	11.60352
85	12.116010000000001
86	12.17676
87	11.98379
88	12.07559
89	11.94199
90	18.78358
91	20.98182
92	21.37245
93	24.91524
