txSize	cpuPerc	memoryPerc	memoryUsed
315.3970588235294	33.3	30.3	1.250172928
315.3970588235294	57.1	30.3	1.2510208
315.3970588235294	50.0	30.3	1.25054976
5.3970588235294	100.0	30.3	1.250500608
5.3970588235294	33.3	30.3	1.250516992
315.3970588235294	33.3	30.3	1.250709504
315.3970588235294	50.0	30.3	1.250516992
5.3970588235294	100.0	30.3	1.250516992
315.3970588235294	50.0	30.3	1.2502016
315.3970588235294	100.0	30.3	1.250172928
315.3970588235294	5.3	30.3	1.2510208
315.3970588235294	100.0	30.3	1.250353152
315.3970588235294	33.3	30.3	1.250021376
315.3970588235294	50.0	30.3	1.250873344
315.3970588235294	33.3	30.3	1.250353152
315.3970588235294	100.0	30.3	1.250709504
315.3970588235294	50.0	30.3	1.25054976
315.3970588235294	50.0	30.3	1.25054976
315.3970588235294	100.0	30.3	1.250709504
315.3970588235294	100.0	30.3	1.250533376
315.3970588235294	66.7	30.3	1.250709504
315.3970588235294	100.0	30.3	1.250353152
315.3970588235294	17.6	30.3	1.250443264
5.3970588235294	6.2	30.3	1.250680832
315.3970588235294	50.0	30.3	1.250873344
315.3970588235294	66.7	30.3	1.250021376
315.3970588235294	40.0	30.3	1.250353152
15.3970588235294	11.0	30.3	1.250455552
315.3970588235294	100.0	30.3	1.250172928
315.3970588235294	50.0	30.3	1.250873344
315.3970588235294	33.3	30.3	1.251012608
315.3970588235294	100.0	30.3	1.250516992
315.3970588235294	33.3	30.3	1.2510208
315.3970588235294	66.7	30.3	1.2502016
315.3970588235294	25.0	30.3	1.250852864
315.3970588235294	1.8	30.3	1.250172928
315.3970588235294	75.0	30.3	1.250852864
5.3970588235294	100.0	30.3	1.25054976
15.3970588235294	20.0	30.3	1.250676736
315.3970588235294	50.0	30.3	1.25083648
.3970588235294	25.0	30.3	1.25083648
315.3970588235294	12.2	30.3	1.250566144
315.3970588235294	21.0	30.8	1.269067776
315.3970588235294	52.5	30.9	1.275854848
315.3970588235294	44.5	30.8	1.269702656
315.3970588235294	44.1	30.9	1.275973632
315.3970588235294	67.3	31.0	1.276780544
315.3970588235294	52.9	31.0	1.278087168
315.3970588235294	44.9	31.0	1.278312448
315.3970588235294	33.3	30.9	1.27606784
315.3970588235294	40.0	31.0	1.277513728
315.3970588235294	42.9	31.0	1.277513728
315.3970588235294	57.4	31.0	1.277272064
315.3970588235294	48.6	30.9	1.27606784
315.3970588235294	38.5	31.0	1.277865984
315.3970588235294	50.0	31.0	1.277329408
315.3970588235294	55.6	31.0	1.277329408
315.3970588235294	33.3	30.9	1.275973632
315.3970588235294	42.4	31.0	1.278160896
315.3970588235294	47.6	31.0	1.277513728
315.3970588235294	45.5	31.0	1.277513728
315.3970588235294	20.0	30.9	1.27571968
315.3970588235294	50.0	30.9	1.27571968
315.3970588235294	44.6	30.9	1.27571968
315.3970588235294	57.6	31.0	1.278787584
315.3970588235294	32.1	30.9	1.275752448
315.3970588235294	77.8	31.0	1.278312448
315.3970588235294	75.0	31.0	1.277513728
315.3970588235294	35.9	30.9	1.275887616
315.3970588235294	40.0	30.9	1.27606784
