timeFrame	cpuPerc	memoryPerc	memoryUsed
1	100.0	96.6	2.009182208
1	100.0	96.8	2.011639808
1	100.0	96.8	2.011721728
1	100.0	96.8	2.01197568
1	80.0	82.6	1.717338112
1	20.0	82.6	1.717338112
2	8.3	82.6	1.717317632
2	10.0	82.6	1.717293056
2	22.2	82.6	1.717293056
2	18.2	82.6	1.717293056
3	18.2	82.6	1.717293056
3	33.3	82.6	1.717153792
3	10.0	82.6	1.717153792
4	10.0	82.6	1.717153792
4	10.0	82.6	1.717100544
4	10.0	82.6	1.717100544
4	10.0	82.6	1.717100544
4	20.0	82.6	1.717100544
5	10.0	82.7	1.718362112
5	10.0	82.7	1.71864064
5	10.0	82.6	1.717940224
5	10.0	82.6	1.717891072
5	20.0	82.6	1.717891072
5	9.1	82.6	1.717891072
6	11.1	82.6	1.7178624
6	9.1	82.6	1.7178624
6	11.1	82.7	1.718624256
6	33.3	82.7	1.718382592
6	10.0	82.7	1.718382592
7	10.0	82.7	1.718366208
7	58.3	82.7	1.718611968
7	10.0	82.7	1.718611968
8	10.0	82.7	1.718738944
8	10.0	82.7	1.718726656
8	22.2	82.7	1.718484992
8	10.0	82.7	1.718484992
8	9.1	82.7	1.718484992
8	10.0	82.7	1.718484992
9	10.0	82.7	1.718484992
9	10.0	82.7	1.718484992
9	20.0	82.7	1.718472704
9	20.0	82.7	1.718472704
9	20.0	82.7	1.718726656
10	18.2	82.7	1.718726656
10	30.0	82.7	1.718489088
10	16.7	82.7	1.718489088
11	10.0	82.7	1.718489088
11	10.0	82.7	1.718468608
11	20.0	82.7	1.718468608
11	10.0	82.7	1.718468608
11	10.0	82.7	1.718468608
12	10.0	82.7	1.718468608
12	10.0	82.7	1.718468608
12	10.0	82.7	1.718468608
12	45.5	82.7	1.718480896
12	10.0	82.7	1.718480896
12	9.1	82.7	1.718480896
13	10.0	82.7	1.718480896
13	9.1	82.7	1.718480896
13	20.0	82.7	1.718714368
13	10.0	82.7	1.718714368
13	9.1	82.7	1.718714368
14	10.0	82.7	1.718714368
14	9.1	82.7	1.718706176
14	10.0	82.7	1.718706176
14	20.0	82.7	1.71859968
15	10.0	82.7	1.71859968
15	10.0	82.7	1.7185792
15	11.1	82.7	1.7185792
15	10.0	82.7	1.7185792
15	25.0	82.7	1.718607872
16	10.0	82.7	1.718607872
16	10.0	82.7	1.718575104
16	10.0	82.7	1.718575104
16	20.0	82.7	1.718575104
16	10.0	82.7	1.718575104
17	18.2	82.7	1.718575104
17	18.2	82.7	1.718575104
17	18.2	82.7	1.718575104
17	10.0	82.7	1.718575104
18	10.0	82.7	1.718575104
18	10.0	82.7	1.718575104
18	10.0	82.7	1.718575104
18	41.7	82.7	1.720193024
18	10.0	82.7	1.720193024
18	20.0	82.7	1.718464512
19	10.0	82.7	1.718464512
19	10.0	82.7	1.718464512
19	18.2	82.7	1.718439936
19	11.1	82.7	1.718439936
19	9.1	82.7	1.718439936
19	10.0	82.7	1.718439936
20	10.0	82.7	1.718439936
20	20.0	82.7	1.718439936
21	9.1	82.7	1.718439936
21	20.0	82.7	1.718562816
21	20.0	82.7	1.718689792
21	20.0	82.7	1.718583296
22	10.0	82.7	1.718583296
22	20.0	82.7	1.718685696
22	10.0	82.7	1.718685696
23	10.0	82.7	1.718812672
23	10.0	82.7	1.718812672
23	22.2	82.7	1.718566912
23	9.1	82.7	1.718566912
24	20.0	82.7	1.718566912
24	20.0	82.7	1.718677504
24	30.0	82.7	1.718571008
24	9.1	82.7	1.718571008
25	10.0	82.7	1.718571008
25	10.0	82.7	1.718546432
25	11.1	82.7	1.718546432
25	11.1	82.7	1.718546432
25	10.0	82.7	1.718546432
26	9.1	82.7	1.718546432
26	9.1	82.7	1.718546432
26	9.1	82.7	1.718546432
26	10.0	82.7	1.718546432
26	20.0	82.7	1.718673408
27	27.3	83.1	1.7267712
27	44.4	83.1	1.727004672
27	18.2	83.1	1.72689408
27	11.1	83.1	1.72689408
27	9.1	83.1	1.72689408
28	11.1	83.1	1.72689408
28	10.0	83.1	1.72689408
28	18.2	83.1	1.726869504
28	10.0	83.1	1.726869504
28	10.0	83.1	1.726869504
29	10.0	83.1	1.726869504
29	10.0	83.1	1.726869504
29	10.0	83.1	1.726869504
29	9.1	83.1	1.726869504
29	10.0	83.1	1.726869504
29	10.0	83.1	1.727156224
29	10.0	83.1	1.727156224
30	10.0	83.1	1.727254528
30	11.1	83.0	1.726623744
30	18.2	83.0	1.726623744
31	10.0	83.0	1.726623744
31	10.0	83.0	1.726623744
32	37.5	83.0	1.726574592
32	100.0	83.0	1.726574592
32	100.0	83.0	1.726574592
33	87.5	83.0	1.726574592
33	90.0	83.0	1.726574592
33	100.0	83.1	1.7266688
33	100.0	83.1	1.726922752
34	100.0	83.1	1.726816256
34	100.0	83.1	1.726779392
34	100.0	83.1	1.726779392
34	81.8	83.1	1.726885888
35	71.4	83.1	1.726885888
35	77.8	83.1	1.726885888
35	100.0	83.1	1.726885888
35	90.9	83.1	1.726885888
36	10.0	83.1	1.726885888
36	11.1	83.1	1.726885888
36	18.2	83.1	1.726885888
36	20.0	83.1	1.727266816
37	10.0	83.1	1.727266816
37	10.0	83.1	1.727291392
37	10.0	83.1	1.727291392
37	10.0	83.1	1.727291392
37	11.1	83.1	1.727291392
38	10.0	83.1	1.727291392
38	10.0	83.1	1.727291392
38	11.1	83.1	1.727258624
38	9.1	83.1	1.727258624
38	11.1	83.1	1.727258624
38	20.0	83.1	1.727668224
38	20.0	83.1	1.727668224
39	10.0	83.1	1.727668224
39	10.0	83.1	1.72763136
39	18.2	83.1	1.72763136
39	10.0	83.1	1.727729664
40	10.0	83.1	1.727729664
40	18.2	83.1	1.727729664
40	10.0	83.1	1.727729664
40	9.1	83.1	1.727729664
40	10.0	83.1	1.727729664
41	18.2	83.1	1.72785664
