timeFrame	cpuPerc	memoryPerc	memoryUsed
0	22.2	68.4	1.422831616
0	9.1	68.5	1.423302656
0	11.1	68.6	1.425526784
0	11.1	68.6	1.426092032
0	9.1	68.6	1.426251776
0	11.1	68.6	1.426485248
1	10.0	68.6	1.426169856
1	20.0	68.6	1.42700544
1	9.1	68.6	1.427173376
1	25.0	68.7	1.42739456
1	18.2	68.7	1.427972096
1	20.0	68.7	1.4282752
2	20.0	68.7	1.429159936
2	10.0	68.7	1.429159936
2	11.1	68.8	1.429368832
2	10.0	68.7	1.429266432
2	18.2	68.8	1.429426176
2	9.1	68.8	1.42977024
3	10.0	68.8	1.429798912
3	11.1	68.8	1.430642688
3	18.2	68.8	1.431150592
3	10.0	68.8	1.43138816
3	18.2	68.9	1.431642112
3	10.0	68.9	1.431732224
3	27.3	68.9	1.431814144
3	20.0	68.9	1.432305664
4	20.0	69.0	1.433608192
4	20.0	69.0	1.4339072
4	10.0	69.0	1.43499264
4	20.0	69.1	1.436213248
5	20.0	69.1	1.437184
5	25.0	69.1	1.437519872
5	20.0	69.2	1.437843456
5	10.0	69.2	1.438244864
5	20.0	69.2	1.438408704
5	10.0	69.2	1.438703616
5	27.3	69.2	1.438785536
5	36.4	69.2	1.439076352
6	36.4	69.2	1.439649792
6	70.0	69.3	1.440022528
6	10.0	69.3	1.440075776
6	18.2	69.3	1.440448512
6	12.5	69.3	1.440718848
6	11.1	69.3	1.440845824
6	60.0	69.3	1.441353728
6	45.5	69.4	1.441886208
7	27.3	69.4	1.441968128
7	77.8	71.7	1.491574784
7	100.0	75.2	1.563570176
7	100.0	78.8	1.639202816
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	22.2	69.3	1.44142336
7	63.6	68.1	1.415368704
8	10.0	68.1	1.415368704
8	11.1	68.1	1.415368704
8	9.1	68.1	1.415368704
8	20.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	9.1	68.1	1.4154752
9	11.1	68.1	1.4154752
9	10.0	68.1	1.415602176
9	18.2	68.1	1.415602176
9	20.0	68.1	1.415729152
9	10.0	68.1	1.41582336
9	10.0	68.1	1.41582336
9	36.4	68.1	1.415950336
10	30.0	68.1	1.416077312
10	20.0	68.1	1.416204288
10	10.0	68.1	1.416204288
10	10.0	68.1	1.416577024
10	10.0	68.1	1.416577024
10	23.1	68.1	1.416830976
10	50.0	68.2	1.41826048
11	55.6	68.2	1.418514432
11	18.2	68.2	1.418641408
11	18.2	68.2	1.418768384
11	16.7	68.2	1.418878976
11	10.0	68.2	1.418878976
11	20.0	68.3	1.419132928
12	41.7	68.3	1.419333632
12	11.1	68.3	1.419599872
0	22.2	68.4	1.422831616
0	9.1	68.5	1.423302656
0	11.1	68.6	1.425526784
0	11.1	68.6	1.426092032
0	9.1	68.6	1.426251776
0	11.1	68.6	1.426485248
1	10.0	68.6	1.426169856
1	20.0	68.6	1.42700544
1	9.1	68.6	1.427173376
1	25.0	68.7	1.42739456
1	18.2	68.7	1.427972096
1	20.0	68.7	1.4282752
2	20.0	68.7	1.429159936
2	10.0	68.7	1.429159936
2	11.1	68.8	1.429368832
2	10.0	68.7	1.429266432
2	18.2	68.8	1.429426176
2	9.1	68.8	1.42977024
3	10.0	68.8	1.429798912
3	11.1	68.8	1.430642688
3	18.2	68.8	1.431150592
3	10.0	68.8	1.43138816
3	18.2	68.9	1.431642112
3	10.0	68.9	1.431732224
3	27.3	68.9	1.431814144
3	20.0	68.9	1.432305664
4	20.0	69.0	1.433608192
4	20.0	69.0	1.4339072
4	10.0	69.0	1.43499264
4	20.0	69.1	1.436213248
5	20.0	69.1	1.437184
5	25.0	69.1	1.437519872
5	20.0	69.2	1.437843456
5	10.0	69.2	1.438244864
5	20.0	69.2	1.438408704
5	10.0	69.2	1.438703616
5	27.3	69.2	1.438785536
5	36.4	69.2	1.439076352
6	36.4	69.2	1.439649792
6	70.0	69.3	1.440022528
6	10.0	69.3	1.440075776
6	18.2	69.3	1.440448512
6	12.5	69.3	1.440718848
6	11.1	69.3	1.440845824
6	60.0	69.3	1.441353728
6	45.5	69.4	1.441886208
7	27.3	69.4	1.441968128
7	77.8	71.7	1.491574784
7	100.0	75.2	1.563570176
7	100.0	78.8	1.639202816
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	22.2	69.3	1.44142336
7	63.6	68.1	1.415368704
8	10.0	68.1	1.415368704
8	11.1	68.1	1.415368704
8	9.1	68.1	1.415368704
8	20.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	9.1	68.1	1.4154752
9	11.1	68.1	1.4154752
9	10.0	68.1	1.415602176
9	18.2	68.1	1.415602176
9	20.0	68.1	1.415729152
9	10.0	68.1	1.41582336
9	10.0	68.1	1.41582336
9	36.4	68.1	1.415950336
10	30.0	68.1	1.416077312
0	22.2	68.4	1.422831616
0	9.1	68.5	1.423302656
0	11.1	68.6	1.425526784
0	11.1	68.6	1.426092032
0	9.1	68.6	1.426251776
0	11.1	68.6	1.426485248
1	10.0	68.6	1.426169856
1	20.0	68.6	1.42700544
1	9.1	68.6	1.427173376
1	25.0	68.7	1.42739456
1	18.2	68.7	1.427972096
1	20.0	68.7	1.4282752
2	20.0	68.7	1.429159936
2	10.0	68.7	1.429159936
2	11.1	68.8	1.429368832
2	10.0	68.7	1.429266432
2	18.2	68.8	1.429426176
2	9.1	68.8	1.42977024
3	10.0	68.8	1.429798912
3	11.1	68.8	1.430642688
3	18.2	68.8	1.431150592
3	10.0	68.8	1.43138816
3	18.2	68.9	1.431642112
3	10.0	68.9	1.431732224
3	27.3	68.9	1.431814144
3	20.0	68.9	1.432305664
4	20.0	69.0	1.433608192
4	20.0	69.0	1.4339072
4	10.0	69.0	1.43499264
4	20.0	69.1	1.436213248
5	20.0	69.1	1.437184
5	25.0	69.1	1.437519872
5	20.0	69.2	1.437843456
5	10.0	69.2	1.438244864
5	20.0	69.2	1.438408704
5	10.0	69.2	1.438703616
5	27.3	69.2	1.438785536
5	36.4	69.2	1.439076352
6	36.4	69.2	1.439649792
6	70.0	69.3	1.440022528
6	10.0	69.3	1.440075776
6	18.2	69.3	1.440448512
6	12.5	69.3	1.440718848
6	11.1	69.3	1.440845824
6	60.0	69.3	1.441353728
6	45.5	69.4	1.441886208
7	27.3	69.4	1.441968128
7	77.8	71.7	1.491574784
7	100.0	75.2	1.563570176
7	100.0	78.8	1.639202816
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	100.0	82.2	1.70971136
7	22.2	69.3	1.44142336
7	63.6	68.1	1.415368704
8	10.0	68.1	1.415368704
8	11.1	68.1	1.415368704
8	9.1	68.1	1.415368704
8	20.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	10.0	68.1	1.415348224
8	9.1	68.1	1.4154752
9	11.1	68.1	1.4154752
9	10.0	68.1	1.415602176
9	18.2	68.1	1.415602176
9	20.0	68.1	1.415729152
9	10.0	68.1	1.41582336
9	10.0	68.1	1.41582336
9	36.4	68.1	1.415950336
10	30.0	68.1	1.416077312
10	20.0	68.1	1.416204288
10	10.0	68.1	1.416204288
10	10.0	68.1	1.416577024
10	10.0	68.1	1.416577024
10	23.1	68.1	1.416830976
